k,z,c,l
3.022932693795802095e+00,9.078096284059201659e-01,9.856615461239809362e-01,8.647644699806317226e-01
2.926186106924355546e+00,9.148611845484683203e-01,9.740554641727539043e-01,8.681906452850127742e-01
2.849874376557120836e+00,9.213969826740663338e-01,9.652621808572037221e-01,8.710886155866912617e-01
2.790382404906390335e+00,9.274511474430504610e-01,9.588148662820047408e-01,8.735326200227685467e-01
2.744735811877642373e+00,9.330561063313269621e-01,9.543101969425660247e-01,8.755895054097786456e-01
2.710485073902975994e+00,9.382425803395783026e-01,9.514012399596138980e-01,8.773189047967960841e-01
2.685612138150136996e+00,9.430395948461235411e-01,9.497907172121667907e-01,8.787737015623102721e-01
2.668455352772585609e+00,9.474745066161184281e-01,9.492247215106787150e-01,8.800006762994352361e-01
4.793877551020408134e+00,8.489795918367347705e-01,1.207564855053007147e+00,8.202908933966180927e-01
4.366889309156766430e+00,8.601723349131782381e-01,1.156778085887882668e+00,8.296114710325861452e-01
4.018657412946387453e+00,8.705999400314012870e-01,1.114346465603579084e+00,8.378146195352255132e-01
3.735187540679024032e+00,8.803049466564730752e-01,1.079164746175517831e+00,8.449804592126319847e-01
3.504958397966329908e+00,8.893290747426135789e-01,1.050242871401730671e+00,8.511973127325281885e-01
3.318502845859359507e+00,8.977129530109837496e-01,1.026698323330543339e+00,8.565574230165690084e-01
3.168050009491086172e+00,9.054959085084660630e-01,1.007748647581126589e+00,8.611532370371179912e-01
3.047223190165371243e+00,9.127158089354102666e-01,9.927039492084295258e-01,8.650744515548574043e-01
2.950787762824574667e+00,9.194089499875640614e-01,9.809593017873563525e-01,8.684058766767026594e-01
2.874442895138226373e+00,9.256099807302946569e-01,9.719871177388629269e-01,8.712260681598217316e-01
2.814650917725828538e+00,9.313518607839915697e-01,9.653295862236269675e-01,8.736066166095288743e-01
2.768498471105885983e+00,9.366658438288575361e-01,9.605913040867664066e-01,8.756119561728363809e-01
2.733584072879835070e+00,9.415814826223303236e-01,9.574322171581292062e-01,8.772995565328092216e-01
